,BrdIndx,Area,Round,Bright,Compact,ShpIndx,Mean_G,Mean_R,Mean_NIR,SD_G,SD_R,SD_NIR,LW,GLCM1,Rect,GLCM2,Dens,Assym,NDVI,BordLngth,GLCM3,BrdIndx_40,Area_40,Round_40,Bright_40,Compact_40,ShpIndx_40,Mean_G_40,Mean_R_40,Mean_NIR_40,SD_G_40,SD_R_40,SD_NIR_40,LW_40,GLCM1_40,Rect_40,GLCM2_40,Dens_40,Assym_40,NDVI_40,BordLngth_40,GLCM3_40,BrdIndx_60,Area_60,Round_60,Bright_60,Compact_60,ShpIndx_60,Mean_G_60,Mean_R_60,Mean_NIR_60,SD_G_60,SD_R_60,SD_NIR_60,LW_60,GLCM1_60,Rect_60,GLCM2_60,Dens_60,Assym_60,NDVI_60,BordLngth_60,GLCM3_60,BrdIndx_80,Area_80,Round_80,Bright_80,Compact_80,ShpIndx_80,Mean_G_80,Mean_R_80,Mean_NIR_80,SD_G_80,SD_R_80,SD_NIR_80,LW_80,GLCM1_80,Rect_80,GLCM2_80,Dens_80,Assym_80,NDVI_80,BordLngth_80,GLCM3_80,BrdIndx_100,Area_100,Round_100,Bright_100,Compact_100,ShpIndx_100,Mean_G_100,Mean_R_100,Mean_NIR_100,SD_G_100,SD_R_100,SD_NIR_100,LW_100,GLCM1_100,Rect_100,GLCM2_100,Dens_100,Assym_100,NDVI_100,BordLngth_100,GLCM3_100,BrdIndx_120,Area_120,Round_120,Bright_120,Compact_120,ShpIndx_120,Mean_G_120,Mean_R_120,Mean_NIR_120,SD_G_120,SD_R_120,SD_NIR_120,LW_120,GLCM1_120,Rect_120,GLCM2_120,Dens_120,Assym_120,NDVI_120,BordLngth_120,GLCM3_120,BrdIndx_140,Area_140,Round_140,Bright_140,Compact_140,ShpIndx_140,Mean_G_140,Mean_R_140,Mean_NIR_140,SD_G_140,SD_R_140,SD_NIR_140,LW_140,GLCM1_140,Rect_140,GLCM2_140,Dens_140,Assym_140,NDVI_140,BordLngth_140,GLCM3_140
NDVI_40,0.158005388,-0.29247867,0.159986627,-0.285960102,0.183756985,0.156509415,0.252831962,-0.489198623,-0.487935583,0.389310969,0.21220293,0.26282321,-0.01945154,0.511794273,-0.253156156,0.337509568,-0.191781293,0.00388131,0.986500159,-0.19734462,-0.342945225,0.18308202,-0.212046529,0.142249213,-0.295135198,0.14167058,0.135690259,0.236558506,-0.49351082,-0.493661953,0.34800563,0.121892273,0.136015553,-0.070824583,0.537723152,-0.179454307,0.46440061,-0.03639668,-0.12619657,1,-0.131094078,-0.47532406,0.256505798,-0.182043081,0.18621683,-0.283881863,0.184384743,0.19412697,0.232164951,-0.479396889,-0.478280087,0.331047096,0.119773656,0.135114458,-0.081489815,0.526363841,-0.204064865,0.539714071,-0.03204777,-0.12301436,0.98435976,-0.028579093,-0.497494977,0.306779073,-0.117690384,0.223148953,-0.280760062,0.164365195,0.251987706,0.208908185,-0.465514986,-0.46653321,0.375298909,0.173563519,0.177350258,-0.061434318,0.493156451,-0.235744288,0.561436423,-0.054078721,-0.140864763,0.972588801,0.042749252,-0.482238348,0.218675551,-0.086349606,0.201631684,-0.283569422,0.116611264,0.178714367,0.18750112,-0.459498631,-0.458798038,0.335107654,0.15703935,0.160913157,-0.045330634,0.444805053,-0.185290681,0.487167819,-0.045566104,-0.117749574,0.9542805,0.020461501,-0.439167553,0.215945817,-0.07364469,0.169437481,-0.29775616,0.089205638,0.186960445,0.138346552,-0.459772521,-0.454351992,0.355141285,0.173897025,0.172618962,-0.037114133,0.428389807,-0.176884937,0.471492027,-0.050075143,-0.068762782,0.919932912,0.035789464,-0.425704138,0.217088733,-0.055203642,0.154269577,-0.306731755,0.067486898,0.185914049,0.111840132,-0.46122675,-0.454197342,0.377831737,0.212885942,0.213888567,-0.031573745,0.418135933,-0.199798181,0.477550663,-0.075596156,-0.024801489,0.908770953,0.032295034,-0.409490465
BordLngth_40,0.359923516,0.273323329,0.230506314,0.170212842,0.236386773,0.42255183,0.117200095,0.193741235,0.157238951,-0.382461757,-0.370039422,-0.339207812,0.238555458,-0.263879538,-0.149952603,0.072585768,-0.186646133,0.256493554,-0.128459702,0.539121418,0.114677045,0.58092671,0.593202528,0.491601447,0.182219252,0.434292207,0.705476704,0.132412733,0.203415305,0.16808691,-0.345995067,-0.3401822,-0.324121238,0.310868717,-0.171375181,-0.377356452,0.137755246,-0.461101809,0.348725219,-0.131094078,1,0.027088696,0.425450608,0.558970891,0.351781275,0.193634849,0.326387524,0.549026219,0.146922223,0.212026014,0.178896516,-0.426431441,-0.412443214,-0.397644857,0.309704207,-0.276165302,-0.282717604,-0.066793354,-0.408069679,0.31476759,-0.121975978,0.727244675,0.149329148,0.285005624,0.419217448,0.324209804,0.214582161,0.313601518,0.379368208,0.172277776,0.230314018,0.197713976,-0.425366217,-0.427819216,-0.413380573,0.236875721,-0.245356895,-0.209597931,-0.158513219,-0.340725469,0.243180394,-0.117405021,0.458451716,0.132763214,0.224719422,0.453826972,0.253459185,0.222886448,0.264448327,0.301799691,0.176016423,0.239855382,0.208812329,-0.418192398,-0.414582655,-0.408070728,0.176702706,-0.216087142,-0.155505601,-0.191540704,-0.28960467,0.223625323,-0.139905317,0.433928935,0.108740333,0.193579662,0.423909229,0.240453356,0.223149229,0.246890701,0.265825143,0.170681883,0.240384165,0.216098785,-0.415779488,-0.401631973,-0.404174666,0.167173618,-0.231097141,-0.146367677,-0.230749387,-0.284545722,0.186638754,-0.159288613,0.386592836,0.133156636,0.178970456,0.377209452,0.224027963,0.217758132,0.218628265,0.256599244,0.168504217,0.233042959,0.212713366,-0.411415286,-0.394117502,-0.39681322,0.181329377,-0.249244197,-0.153525039,-0.247348313,-0.299943403,0.201305844,-0.158462499,0.341266891,0.149434216
GLCM3_40,-0.14086251,0.222605721,-0.161837749,0.305180803,-0.198811697,-0.1341291,0.055701449,0.401741364,0.360692676,-0.134005779,-0.014997047,-0.005665896,0.057335822,-0.566016948,0.244927432,-0.212347045,0.127625976,0.004999154,-0.463589252,0.140075838,0.517053385,-0.063804249,0.066177332,-0.082689865,0.300763376,-0.097598409,-0.03751387,0.058642626,0.392945847,0.356944242,-0.327889288,-0.131110139,-0.120478868,0.065671863,-0.891644691,0.072776368,-0.549370831,-0.024951961,0.014322626,-0.47532406,0.027088696,1,-0.109837407,0.065214882,-0.088885086,0.266762956,-0.098044684,-0.087399248,0.038448807,0.357934483,0.321313046,-0.113424285,0.054942835,0.065276589,0.062357445,-0.663662624,0.053847464,-0.423644341,0.010392216,-0.026651898,-0.464146659,-0.02315804,0.697596767,-0.118097952,-0.032205707,-0.088206303,0.239543172,-0.066629671,-0.120209556,0.03256075,0.324118533,0.290219951,-0.158968834,0.013611145,0.015346396,0.027733066,-0.565021106,0.09064913,-0.348065383,0.030828137,0.026691914,-0.448937517,-0.095930616,0.574990435,-0.022154255,0.015602194,-0.077813141,0.22137001,-0.037116403,-0.028488968,0.025012648,0.301780281,0.269988678,-0.138774405,0.022231468,0.028164014,0.028964263,-0.467242098,0.023132012,-0.25376033,-0.009615739,0.065185481,-0.439439576,-0.002208317,0.474893862,-0.047128627,0.003876657,-0.103554322,0.227662541,-0.056508201,-0.056270425,0.038753672,0.302836687,0.27535057,-0.214542044,-0.040491924,-0.037450247,0.025644317,-0.462851444,0.059840942,-0.270840391,0.024734268,0.026662665,-0.43787461,-0.030720404,0.471110937,-0.064805376,0.005168969,-0.11844933,0.219070096,-0.056846048,-0.077330174,0.030217435,0.294035235,0.268768805,-0.207501502,-0.046451045,-0.041106979,0.017376447,-0.429103673,0.091980537,-0.261864886,0.058049549,0.006259556,-0.44313346,-0.037402249,0.444091893
BrdIndx_60,0.347169773,-0.211802481,0.330529145,-0.069047078,0.363989342,0.338215355,0.100452087,-0.128920124,-0.141145241,0.072974151,0.072134768,0.106819035,-0.037293021,0.13903898,-0.351047479,0.162752603,-0.264255689,0.09387414,0.263456754,0.038815073,-0.015450698,0.772673907,-0.052209322,0.624784283,-0.068323335,0.636366264,0.708973045,0.096630602,-0.12526298,-0.13925387,0.082469985,0.065725074,0.078145981,-0.085457781,0.161193491,-0.613474273,0.404150104,-0.358670397,0.047482296,0.256505798,0.425450608,-0.109837407,1,0.069718341,0.796593488,-0.061659106,0.790147022,0.92820057,0.089600687,-0.113266244,-0.128665731,0.096131596,0.071770428,0.084669857,-0.092869827,0.174898035,-0.77458691,0.488332664,-0.448261514,0.020009571,0.236733656,0.639645735,-0.157708541,0.724472514,0.148922961,0.606861463,-0.053933534,0.521926707,0.684910489,0.09493591,-0.103803738,-0.122503905,0.080153224,0.060753655,0.070993447,-0.07056549,0.188004198,-0.560901874,0.382607443,-0.327206131,0.01118725,0.245659585,0.446688359,-0.189961893,0.602440416,0.187881929,0.496617507,-0.060921757,0.399298334,0.5680426,0.084304495,-0.108475839,-0.126335196,0.072712556,0.070703373,0.078404136,-0.063164606,0.220379529,-0.457671653,0.339602405,-0.285179429,0.057060162,0.241231533,0.413871906,-0.231303287,0.541143284,0.215331418,0.405804621,-0.070044617,0.310976466,0.515389519,0.061754673,-0.113034612,-0.126681061,0.063081083,0.091891967,0.086972396,-0.062876338,0.202746204,-0.392322806,0.307755807,-0.244041239,0.046346659,0.221021801,0.401048982,-0.221408998,0.506049695,0.177193039,0.361559376,-0.080246022,0.255001784,0.475014577,0.043097231,-0.120536572,-0.130643293,0.086342367,0.111140171,0.106963586,-0.061955353,0.21003969,-0.38806499,0.293421369,-0.239526534,0.072385546,0.21756823,0.326372305,-0.227037566
Area_60,0.136688707,0.427461135,-0.005294605,0.298068629,-0.044971936,0.162237688,0.205759693,0.320811949,0.294262996,-0.422861487,-0.437217083,-0.418357394,0.109441433,-0.320929316,0.113640879,-0.090223172,0.08357704,0.077939553,-0.176302388,0.499198039,0.043363825,0.056025536,0.796368483,0.038659103,0.316454657,-0.030278185,0.104393004,0.225295858,0.337286804,0.312758854,-0.437342465,-0.451070977,-0.44366731,0.095958746,-0.257813741,0.082019394,-0.245604448,-0.006135171,0.117681601,-0.182043081,0.558970891,0.065214882,0.069718341,1,0.047410513,0.329528747,0.016654674,0.152771789,0.24038002,0.348869604,0.325470347,-0.44048283,-0.439829926,-0.439383729,0.167480322,-0.234714617,0.027819323,-0.242463839,-0.129614643,0.194644963,-0.181357701,0.671875547,0.045970888,-0.025257961,0.692699623,0.011021163,0.348617025,0.006095272,0.05440109,0.264630342,0.365138656,0.344072957,-0.470490011,-0.486183655,-0.485731985,0.134202086,-0.280970576,0.067223385,-0.345773281,-0.092894093,0.140350518,-0.182733444,0.384183757,0.118362499,-0.078387064,0.559053344,-0.032974494,0.359629056,-0.013444338,-0.002792588,0.270983192,0.377509039,0.358149832,-0.49445896,-0.509800251,-0.514949623,0.102911779,-0.336971593,0.105080861,-0.416855469,-0.075051241,0.150534128,-0.209461504,0.283160711,0.167880466,-0.098888193,0.505680196,-0.025228028,0.363939719,-0.021571701,-0.017987797,0.273274764,0.381767647,0.367638071,-0.495723291,-0.508341711,-0.516432851,0.104603839,-0.348167807,0.109842486,-0.443290245,-0.093927779,0.148231137,-0.228040394,0.244757606,0.181246217,-0.067495381,0.458892102,0.001782263,0.363046665,0.047701081,0.014888964,0.276720925,0.379945205,0.367248735,-0.504456814,-0.511237003,-0.517936064,0.106523781,-0.36345356,0.069452759,-0.449144801,-0.126728985,0.160532695,-0.231247144,0.257286847,0.203611372
Round_60,0.210680869,-0.179896513,0.288371329,0.01256619,0.300131286,0.260926991,0.127985097,-0.028618062,-0.048308131,0.100252437,0.071649523,0.096662197,0.095448245,0.150324128,-0.279041977,0.165095469,-0.353994844,0.252638236,0.193313909,0.038575907,-0.028825194,0.580975061,-0.041382479,0.688504647,0.017054068,0.666341346,0.590595057,0.129469185,-0.022257987,-0.043099032,0.095202358,0.045761966,0.052729383,0.017494809,0.15125881,-0.632560509,0.318197663,-0.51656337,0.195418256,0.18621683,0.351781275,-0.088885086,0.796593488,0.047410513,1,0.0177093,0.900813943,0.777083131,0.123139415,-0.018520153,-0.040141484,0.120176199,0.079849902,0.087074638,-0.015777375,0.179555016,-0.879975916,0.414564113,-0.631124153,0.150609838,0.177940992,0.508359981,-0.1356418,0.599279055,0.159967053,0.776709859,0.020436044,0.65025334,0.584210315,0.127077649,-0.01498123,-0.039299938,0.103648449,0.080217252,0.082976,-0.020000953,0.200742758,-0.68952307,0.34613259,-0.486742689,0.103413925,0.188705567,0.380477129,-0.188880231,0.531290268,0.190277163,0.628778293,0.011935604,0.520000484,0.5064353,0.117869813,-0.022008022,-0.045847207,0.077817696,0.072867149,0.076170145,-0.036060413,0.201058461,-0.574336204,0.307955824,-0.404728126,0.088888766,0.184053933,0.372010287,-0.199753244,0.479838009,0.217472376,0.520264906,0.004081487,0.422226242,0.460186183,0.100235984,-0.026733603,-0.046132781,0.0659972,0.077132826,0.072031331,-0.044591956,0.185034372,-0.506094486,0.283700337,-0.349966784,0.072220966,0.168327704,0.36372715,-0.193782663,0.450652523,0.172125477,0.464377219,-0.006028351,0.365876175,0.4226905,0.082286389,-0.033941764,-0.050292368,0.095784135,0.10289464,0.09787016,-0.048433709,0.206784243,-0.485144197,0.279346413,-0.326030649,0.077832865,0.163432842,0.29419617,-0.205366529
Bright_60,-0.080000223,0.345855691,-0.110283854,0.981305548,-0.149195543,-0.071850836,0.82088788,0.953154918,0.950731769,-0.227758691,-0.200596248,-0.227802232,0.044172012,-0.303971382,0.152973945,-0.129736072,0.123188672,0.044308365,-0.270553048,0.253375926,0.115727149,-0.061026127,0.285223696,-0.003311032,0.990395686,0.02514907,-0.044250962,0.842875593,0.960504758,0.958441035,-0.298374807,-0.192939479,-0.21738124,0.0507138,-0.363625522,0.029158207,-0.308429134,0.029497467,-0.02160934,-0.283881863,0.193634849,0.266762956,-0.061659106,0.329528747,0.0177093,1,0.030205998,-0.024614868,0.853604684,0.972365891,0.969309337,-0.305773107,-0.184382754,-0.208427515,0.078538131,-0.368468166,0.019493113,-0.331852034,-0.018797039,0.004860287,-0.295793358,0.195872068,0.299901042,-0.067151632,0.289360444,0.012565013,0.985896063,0.063530235,-0.041049342,0.851338221,0.961502667,0.957612817,-0.329745057,-0.209755667,-0.228677888,0.062635164,-0.33037936,0.018413923,-0.330090488,0.003074909,-0.004830573,-0.300870305,0.141905442,0.262878077,-0.022667273,0.262113268,0.005919705,0.97382129,0.083674335,-0.008597802,0.845822908,0.951313006,0.94754383,-0.395313586,-0.250987464,-0.272813609,0.063344561,-0.38941523,-0.015946265,-0.373632792,0.003374047,-0.033744828,-0.333371807,0.138306044,0.336774444,-0.085754592,0.231942274,-0.00253344,0.962348292,0.061082224,-0.070386913,0.847079127,0.940165131,0.938908069,-0.439021587,-0.28785059,-0.316932083,0.059398498,-0.402858375,0.028379802,-0.41656042,0.045352826,-0.060753657,-0.348371261,0.081979665,0.353326158,-0.08202622,0.216912313,0.001177952,0.953551041,0.076765073,-0.064114548,0.847797024,0.932469336,0.931468228,-0.426829215,-0.286918859,-0.314116053,0.058105104,-0.393794354,0.03056225,-0.418633192,0.030248408,-0.04536512,-0.357909405,0.087023119,0.337917389
Compact_60,0.182329674,-0.176883011,0.260918744,0.024547947,0.314325092,0.248094052,0.131743638,-0.020873257,-0.027102183,0.127325737,0.100054707,0.118747678,0.123182015,0.155241994,-0.293215359,0.165287905,-0.366764384,0.234454114,0.188216743,0.032827066,-0.028343769,0.578598874,-0.063620506,0.667293646,0.026868699,0.749211905,0.578527221,0.133743753,-0.017087325,-0.025470546,0.116934422,0.084967645,0.087269917,0.000980743,0.170408726,-0.644079008,0.311963528,-0.498203067,0.140795723,0.184384743,0.326387524,-0.098044684,0.790147022,0.016654674,0.900813943,0.030205998,1,0.767962372,0.127505889,-0.009459746,-0.019258459,0.146948058,0.113241044,0.119171487,-0.024855769,0.196118929,-0.859159669,0.408518935,-0.602139577,0.109430743,0.172294201,0.491530462,-0.14308547,0.596885519,0.110442545,0.718596673,0.03579229,0.716381514,0.574462787,0.13357705,-0.00241107,-0.015937628,0.137674721,0.113922076,0.119897182,-0.036871662,0.214118307,-0.67192406,0.334563949,-0.460164915,0.065331494,0.178914002,0.346292586,-0.185400343,0.493918728,0.133211222,0.567468837,0.030771092,0.532144245,0.467022199,0.127390757,-0.005583619,-0.019546173,0.125126832,0.108452222,0.117517652,-0.04335247,0.215015659,-0.541230748,0.290277822,-0.372213257,0.069748553,0.173345952,0.317191713,-0.191016531,0.443617762,0.158647968,0.470565945,0.018930671,0.423676001,0.420600855,0.107883749,-0.01405157,-0.025099565,0.12024216,0.12603324,0.120393887,-0.047644228,0.205487672,-0.471298885,0.276628594,-0.316810932,0.04357417,0.160301341,0.309409966,-0.195783495,0.418065647,0.127444577,0.421635691,0.009758834,0.366056563,0.383773372,0.094372868,-0.021867646,-0.029685523,0.147654894,0.154404781,0.146088108,-0.056108125,0.221422328,-0.4574102,0.27047867,-0.294613214,0.044801743,0.160832744,0.247370817,-0.203948936
ShpIndx_60,0.338157451,-0.182769029,0.313818888,-0.035248927,0.351173978,0.387514814,0.095686659,-0.078940986,-0.097339531,0.013885804,0.012142046,0.051096971,0.143570724,0.083858638,-0.3352349,0.144957871,-0.35066805,0.199460343,0.195891226,0.111932061,0.024024825,0.722189988,0.006408711,0.618645307,-0.033440702,0.622636669,0.778531611,0.097205391,-0.076542879,-0.095726216,0.028371733,0.023631054,0.035881956,0.175030423,0.122181001,-0.599505435,0.382128121,-0.532360497,0.238513296,0.19412697,0.549026219,-0.087399248,0.92820057,0.152771789,0.777083131,-0.024614868,0.767962372,1,0.094078904,-0.063517864,-0.083345929,0.01951738,0.007805482,0.019882534,0.218759371,0.120467322,-0.75715737,0.430918078,-0.674816443,0.265205616,0.179437687,0.765520748,-0.111717133,0.667714016,0.239381523,0.618811922,-0.015308387,0.554560969,0.747087462,0.102880045,-0.053810279,-0.075689243,0.004921831,-0.004301696,0.005805626,0.206576928,0.133048032,-0.560267986,0.324248186,-0.544563147,0.226908616,0.188756739,0.549257922,-0.143513376,0.556242669,0.291415382,0.514284457,-0.020057068,0.445005605,0.629319196,0.093377009,-0.055801457,-0.077154794,-9.94E-05,0.004908785,0.011736583,0.173810843,0.169587644,-0.457424103,0.285765081,-0.484877521,0.249544408,0.178558088,0.523192785,-0.187209079,0.508607007,0.30792706,0.455767425,-0.028891286,0.382088215,0.577230046,0.072895439,-0.061035031,-0.077545133,-0.005243842,0.028291647,0.022552885,0.156024044,0.15355253,-0.416795717,0.256225822,-0.445069881,0.231480091,0.159224876,0.499471726,-0.177551971,0.491624496,0.284893646,0.421488149,-0.037750443,0.349011633,0.551759564,0.05720707,-0.067901971,-0.080826853,0.012542817,0.043474265,0.038642489,0.153008125,0.154529612,-0.420563497,0.241768406,-0.435624575,0.244583781,0.156580825,0.439402592,-0.175763547
Mean_G_60,0.023365016,0.184776763,-0.00278268,0.835223009,-0.040580998,0.030751387,0.973927677,0.696716346,0.68731993,-0.061155855,-0.105075522,-0.100588261,0.038381795,-0.063979203,0.004706454,0.043727642,0.011500244,0.053423503,0.240894734,0.158574146,-0.035296847,0.060778956,0.178165935,0.083924205,0.83940873,0.103142899,0.048603831,0.987126717,0.701592066,0.692373687,-0.154757341,-0.140789371,-0.157125041,0.0136526,-0.10887174,-0.070442334,-0.064360277,0.010570765,-0.082222229,0.232164951,0.146922223,0.038448807,0.089600687,0.24038002,0.123139415,0.853604684,0.127505889,0.094078904,1,0.716749008,0.708065906,-0.166110369,-0.134394639,-0.149975502,0.040717686,-0.109432024,-0.084779604,-0.056306028,-0.035820016,-0.052461139,0.226660508,0.199310762,0.048020578,0.108591993,0.240821923,0.132528216,0.839462011,0.145245792,0.10700489,0.982291799,0.712345607,0.701712947,-0.166532569,-0.133901832,-0.152617755,0.037176893,-0.087985812,-0.097789925,-0.044666157,-0.022308113,-0.078110057,0.21602498,0.185671275,0.019396506,0.108394234,0.23322869,0.119884785,0.823558758,0.14431643,0.10373042,0.963487652,0.702762604,0.693941281,-0.254462351,-0.181004845,-0.202189863,0.04590521,-0.170449877,-0.111971504,-0.124573788,-0.021577705,-0.093808435,0.175845554,0.17085902,0.116315445,0.045018974,0.209657817,0.097712122,0.802379834,0.111297328,0.046895628,0.935469118,0.689740076,0.686403001,-0.288585021,-0.207883038,-0.240916792,0.045675676,-0.194531194,-0.068656948,-0.17937246,0.013161008,-0.095501035,0.141876297,0.122144214,0.144437659,0.050608,0.203890757,0.094199661,0.785623184,0.1155679,0.053695927,0.917893886,0.678649218,0.676704879,-0.264347436,-0.190397824,-0.219591086,0.047481634,-0.192298249,-0.083983743,-0.179748339,-0.018730274,-0.055626797,0.127623611,0.123732032,0.139900366
Mean_R_60,-0.109604736,0.400853188,-0.145314398,0.955934934,-0.180660046,-0.100278322,0.684983541,0.983907773,0.968882748,-0.294425217,-0.242388262,-0.27605095,0.048776331,-0.399775355,0.204184872,-0.18851426,0.158061602,0.047515822,-0.465087203,0.292060012,0.186284842,-0.099956065,0.317552721,-0.031483893,0.966298103,-0.006105877,-0.070462227,0.708350128,0.991404011,0.977650147,-0.352250731,-0.22182237,-0.245128744,0.066573133,-0.462886921,0.063788798,-0.391433338,0.02701762,0.015259159,-0.479396889,0.212026014,0.357934483,-0.113266244,0.348869604,-0.018520153,0.972365891,-0.009459746,-0.063517864,0.716749008,1,0.984755599,-0.355692537,-0.210628648,-0.23419192,0.092469395,-0.465780357,0.054263138,-0.425856254,-0.018778231,0.03454359,-0.492349189,0.188950172,0.395473544,-0.128779616,0.294362949,-0.028176116,0.959890988,0.027658961,-0.090668839,0.721979657,0.987410391,0.972103383,-0.386613595,-0.244122259,-0.261337659,0.07313162,-0.419083578,0.057731493,-0.425728283,0.003797018,0.033151523,-0.49382425,0.122127355,0.353238628,-0.067920185,0.260740895,-0.031301268,0.950058709,0.055339464,-0.044865966,0.721785509,0.976929333,0.962413246,-0.437598882,-0.279450235,-0.299807354,0.069603352,-0.460343483,0.017283063,-0.448711018,0.003927724,0.001687501,-0.520280047,0.123482262,0.408234406,-0.125243196,0.230387462,-0.033923296,0.944285139,0.039044432,-0.103553759,0.733358005,0.968371115,0.956471467,-0.483656916,-0.317834871,-0.344384484,0.063664325,-0.469068862,0.057102256,-0.484636761,0.045285719,-0.036662708,-0.530302174,0.068491503,0.420442502,-0.12206066,0.210508956,-0.027822162,0.938979579,0.058812938,-0.097618687,0.740670154,0.962004629,0.95056985,-0.478713271,-0.322982165,-0.347474951,0.061153058,-0.459478941,0.06845023,-0.486945797,0.039442016,-0.032986338,-0.538012724,0.073530041,0.404304177
Mean_NIR_60,-0.124616794,0.364451813,-0.147137029,0.951484004,-0.183443037,-0.11857021,0.674674505,0.966609976,0.983985089,-0.261192283,-0.2028408,-0.245971107,0.036097505,-0.356907993,0.200594407,-0.195908955,0.161456057,0.024594969,-0.46445383,0.248311047,0.152487695,-0.115598982,0.291589694,-0.049690373,0.961832052,-0.015236757,-0.089921149,0.6987922,0.974593747,0.991463424,-0.311759913,-0.172098007,-0.200247197,0.057046899,-0.41466284,0.074752804,-0.377529823,0.043162541,-0.003035106,-0.478280087,0.178896516,0.321313046,-0.128665731,0.325470347,-0.040141484,0.969309337,-0.019258459,-0.083345929,0.708065906,0.984755599,1,-0.318437163,-0.166016105,-0.193471918,0.082322037,-0.424388014,0.070862066,-0.412621955,-0.000331988,0.023102288,-0.492480425,0.16325482,0.364266882,-0.144103175,0.272249716,-0.052347182,0.956186217,0.017485246,-0.111217718,0.711916785,0.972079303,0.986818164,-0.351283951,-0.200803243,-0.218138521,0.06216273,-0.387898215,0.075691713,-0.418153388,0.024030132,0.020533507,-0.495500997,0.097526941,0.332314072,-0.085946193,0.239567857,-0.056169048,0.947389583,0.044433355,-0.067517752,0.713517911,0.963579055,0.976229086,-0.400192497,-0.235315696,-0.255138703,0.060151581,-0.433911783,0.036472232,-0.443155386,0.024068368,-0.011862278,-0.521492762,0.099251728,0.391932748,-0.142957949,0.209480007,-0.057115053,0.940612784,0.028632595,-0.125281943,0.729407235,0.953455503,0.96542636,-0.441623553,-0.272412064,-0.29520876,0.055778947,-0.440435086,0.078080251,-0.474929075,0.065157197,-0.044109088,-0.52224102,0.045448475,0.399769083,-0.140991201,0.194237508,-0.050268281,0.936793851,0.047095738,-0.120299189,0.739126936,0.948793559,0.959755403,-0.434691192,-0.27980587,-0.302970783,0.053287084,-0.427633007,0.085601953,-0.477852926,0.057911744,-0.040818392,-0.527766176,0.052583198,0.378483315
SD_G_60,-0.168063129,-0.486141759,-0.01852716,-0.253341532,0.006330451,-0.173773424,-0.092416884,-0.318998099,-0.274034597,0.768272493,0.712799404,0.699339107,-0.102412516,0.365800431,-0.101030886,-0.045196727,-0.168573926,-0.12533715,0.343235652,-0.576662377,0.018279349,0.026737076,-0.429017231,0.068824256,-0.279713235,0.112374304,-0.00856126,-0.132501677,-0.33611012,-0.294722986,0.831504721,0.755213831,0.738262377,-0.094852764,0.379813993,-0.153516509,0.388055581,-0.078531185,-0.172244195,0.331047096,-0.426431441,-0.113424285,0.096131596,-0.44048283,0.120176199,-0.305773107,0.146948058,0.01951738,-0.166110369,-0.355692537,-0.318437163,1,0.886410739,0.883120468,-0.145413612,0.550465414,-0.178850021,0.613294949,-0.004722378,-0.217171634,0.317102887,-0.328338349,-0.38940353,0.146828675,-0.384451549,0.126076003,-0.337409866,0.123856797,0.077729324,-0.202651557,-0.383679568,-0.348035267,0.904833207,0.82598634,0.818872199,-0.127168251,0.515961578,-0.219520501,0.626422089,-0.032997148,-0.158763816,0.324707273,-0.217540438,-0.378368481,0.155067043,-0.355482159,0.116751902,-0.361343844,0.106431595,0.096229134,-0.226719937,-0.405559066,-0.371619722,0.81642012,0.768830593,0.775809601,-0.101756851,0.452558785,-0.195205412,0.59654745,-0.054411756,-0.085419653,0.337770721,-0.166053616,-0.316226936,0.164860549,-0.331782435,0.111609602,-0.362055887,0.102081215,0.113097335,-0.234291759,-0.402017834,-0.374388296,0.75144984,0.724519505,0.726250314,-0.093299744,0.427859102,-0.176855364,0.591972042,-0.052756615,-0.056791887,0.337745584,-0.137303362,-0.303145778,0.114186726,-0.321068503,0.058284615,-0.367077556,0.034497314,0.065089117,-0.244171189,-0.404735703,-0.379717013,0.736287128,0.703636927,0.704617325,-0.088168258,0.432856941,-0.135112222,0.57703208,-0.029100981,-0.055196845,0.341548734,-0.172554319,-0.305115544
